id_comercio|id_bandera|id_sucursal|sucursales_nombre|sucursales_tipo|sucursales_calle|sucursales_numero|sucursales_latitud|sucursales_longitud|sucursales_observaciones|sucursales_barrio|sucursales_codigo_postal|sucursales_localidad|sucursales_provincia|sucursales_lunes_horario_atencion|sucursales_martes_horario_atencion|sucursales_miercoles_horario_atencion|sucursales_jueves_horario_atencion|sucursales_viernes_horario_atencion|sucursales_sabado_horario_atencion|sucursales_domingo_horario_atencion
9|1|479|Rio IV Sabattini|Supermercado|AVENIDA SABATTINI DR AMADEO|2136|-33.1383|-64.3538|||5800|RIO CUARTO|AR-X|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:00 a 22:00
9|1|485|La Calera..|Supermercado|Moyano Saul|200|-31.3451|-64.3388|||5151|CORDOBA|AR-X|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:00 a 22:00
9|1|503|Marcos Juarez.|Supermercado|BOULEVARD LARDIZABAL IGNACIO MARIA|900|-32.6981|-62.1046|||2580|MARCOS JUAREZ|AR-X|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:00 a 22:00
9|1|505|Catamarca III.|Supermercado|AVENIDA GUEMES GRAL MARTIN MIGUEL DE|856|-28.4757|-65.7745|||4700|SAN FDO DEL VALLE DE CATAMARCA|AR-K|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|09:00 a 21:00
9|1|545|SM 545 Tupungato Mza.|Supermercado|LINIERS SANTIAGO DE|235|-33.3636|-69.1436|||5561|TUPUNGATO|AR-M|08:30 a 13:30 y 17:00 a 21:30|08:30 a 13:30 y 17:00 a 21:30|08:30 a 13:30 y 17:00 a 21:30|08:30 a 13:30 y 17:00 a 21:30|08:30 a 13:30 y 17:00 a 21:30|08:30 a 13:30 y 17:00 a 21:30|09:00 a 13:00 y 17:00 a 21:00
9|2|583|SM 583 - Villa Allende.|Supermercado|GOYCOECHEA|1327|-31.3015|-64.2856|||5105|VILLA ALLENDE|AR-X|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:00 a 22:00
9|1|584|SM 584 San Rafael III Mza.|Supermercado|Av. Mitre y Patricias Mendocinas|0|-34.6205|-68.3171|||5600|SAN RAFAEL|AR-M|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:00 a 22:00
9|3|628|Jumbo San Fernando|Supermercado|AVENIDA DEL LIBERTADOR GRAL SAN MARTIN|2271|-34.4469|-58.5457|||1646|SAN FERNANDO|AR-B|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00
9|1|633|La Plata SM 633|Supermercado|CALLE 525|1316|-34.8955|-57.9801|||1906|LA PLATA|AR-B|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 22:00
9|1|636|La Plata SM 636|Supermercado|CALLE 13|1936|-34.9362|-57.9344|||1906|LA PLATA|AR-B|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 22:00
9|1|640|La Plata SM 640|Supermercado|CALLE 47 NORESTE|0|-34.9168|-57.9562|||1900|LA PLATA|AR-B|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 22:00
9|1|657|Sarmiento y O´Higgins|Supermercado|AVENIDA SARMIENTO Y O´HIGGINS|0|-24.7767|-65.4148|||4400|SALTA|AR-A|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00
9|1|658|Peatonal Florida|Supermercado|FLORIDA|50|-24.7903|-65.4118|||4400|SALTA|AR-A|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00
9|1|659|Tucumán V.|Supermercado|CORDOBA PROVINCIA DE|649|-26.8306|-65.2177|||4000|SAN MIGUEL DE TUCUMAN|AR-T|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00
9|1|660|Av Alem|Supermercado|AVENIDA ALEM LEANDRO NICEFORO|248|-26.8328|-65.2282|||4000|SAN MIGUEL DE TUCUMAN|AR-T|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:00 a 22:00
9|3|662|Jumbo Paseo del Pilar|Supermercado|ACCESO PILAR NORTE|0|-34.436|-58.808|||1669|DEL VISO|AR-B|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:30|08:00 a 22:00
9|1|665|SM Manzanares.|Supermercado|MANZANARES SOLD|3953|-34.5545|-58.4835|||1430|CIUDAD AUTONOMA BUENOS AIRES|AR-C|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:30|09:00 a 14:00
9|1|690|Rio Tercero|Supermercado|AVENIDA ACUÑA MODESTO|50|-32.174|-64.1094|||5850|RIO TERCERO|AR-X|08:30 a 13:00 Y 17:00 A 21:30|08:30 a 13:00 Y 17:00 A 21:30|08:30 a 13:00 Y 17:00 A 21:30|08:30 a 13:00 Y 17:00 A 21:30|08:30 a 13:00 Y 17:00 A 21:30|08:30 a 21:30|08:00 a 22:00
9|1|692|Lanus SM 692|Hipermercado|AVENIDA YRIGOYEN PRESIDENTE HIPOLITO|3043|-34.6914|-58.3914|||1824|LANUS|AR-B|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:00 a 22:00
9|1|696|Av. San Juan|Hipermercado|AVENIDA SAN JUAN|2862|-34.6245|-58.4066|||1232|CIUDAD AUTONOMA BUENOS AIRES|AR-C|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|09:00 a 21:00
9|1|697|Pacheco|Hipermercado|LA RIOJA S/N ENTRE J.M. PAZ Y BS AS|0|-34.4566|-58.6259|||1617|GENERAL PACHECO|AR-B|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|09:00 a 21:00
9|1|698|Monte Grande|Hipermercado|BOULEVARD BUENOS AIRES|1136|-34.8121|-58.4511|||1842|MONTE GRANDE|AR-B|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|09:00 a 21:00
9|1|700|Av. Cordoba|Hipermercado|AVENIDA CORDOBA|6103|-34.5836|-58.4486|||1427|CIUDAD AUTONOMA BUENOS AIRES|AR-C|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|09:00 a 14:00
9|2|701|Directorio.|Supermercado|AVENIDA DIRECTORIO|1251|-34.6295|-58.4478|||1406|CIUDAD AUTONOMA BUENOS AIRES|AR-C|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:00 a 22:00
9|1|702|Lobos.|Supermercado|ALBERTINI PBTO JOSE|9|-35.1863|-59.0979|||7240|LOBOS|AR-B|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|Cerrado
9|1|703|Cañuelas.|Supermercado|AZCUENAGA|738|-35.0502|-58.7561|||1814|CAÑUELAS|AR-B|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|09:00 a 21:00
